dist_id,total_population,deaths,injured,mmi_max_dist,casualty,predicted,predicted_rate,predicted_den,index_cnt,index_rate,index_den,wpredicted,index_roof,index_wall
60,261770,0,0,3.7330703428,0,0.0194428194,0.0000742744,0.0000130736,3.7,3.4,3.8,0.0056520748,5.1,9.3
61,171304,0,1,4.0839718328,1,0.0029398439,0.0000171616,1.3226171E-6,2.7,2.6,2.7,0.0235050457,1.9,9.1
62,208567,0,0,4.7366777383,0,1.0922979185,0.005237156,0.0001374563,6,5.6,5,0.1077566129,6.2,8.8
63,50858,0,2,4.0930667483,2,8.6837343973,0.1707447087,0.0033984075,7.1,7.4,6.5,0.0852688329,10,9.3
64,552583,0,0,3.8227278084,0,0.3260301521,0.0005900112,0.0001980379,5.3,4.4,5.2,0.0048419959,7.6,9.4
65,224506,0,0,4.1484266262,0,0.1586474462,0.0007066513,0.0000490446,4.9,4.5,4.5,0.0069909094,5.8,7.7
66,242444,0,0,3.9424373472,0,0.7982554551,0.0032925354,0.000132726,5.8,5.3,5,0.011356027,8.1,9.2
67,134912,0,0,3.6812529558,0,0.0081426734,0.0000603554,3.5380268E-6,3.2,3.3,3.2,0.0082654593,4.4,9.3
68,195159,0,0,3.5,0,0.0001413914,7.244935E-7,4.1184879E-8,1,1,1,0.0050504748,1,9.8
69,257477,0,0,3.5,0,0.0007078198,2.7490605E-6,4.1559365E-7,1.9,1.7,2.1,0.0025380593,2.6,9.4
70,211746,0,0,3.5,0,0.0005165945,2.4396894E-6,2.5144861E-7,1.7,1.6,1.9,0.0019425619,2.3,9
71,775709,0,1,3.5,1,0.0184623217,0.0000238006,5.6070893E-6,3.7,2.8,3.4,0.0000742509,6,5.9
72,451248,0,1,3.5,1,0.0059575204,0.0000132023,4.0947879E-6,3.1,2.5,3.3,0.0000925683,4.8,5.4
73,142094,0,0,3.5,0,0.0138173505,0.0000972409,9.1742249E-6,3.5,3.5,3.6,0.0018265084,5.7,8.5
74,250898,0,0,3.5,0,0.0005267941,2.0996345E-6,3.5205287E-7,1.7,1.5,2.1,0.0049971489,2.3,10
75,133274,0,0,3.5,0,0.0008594262,6.4485659E-6,3.6638071E-7,2,2.1,2.1,0.0033365979,2.8,9.1
