p_code,mmi_max,total_population,index_cnt_vdc,index_rate_vdc,index_den_vdc
C-BAG-27-011,8.12,4216,10,10,10
C-BAG-27-012,7.62,4036,9.9,10,10
C-BAG-27-013,7.84,4449,10,10,10
C-BAG-27-014,7.81,11246,10,10,10
C-BAG-27-015,8.07,4755,10,10,10
C-BAG-27-016,7.87,31406,10,10,10
C-BAG-27-017,7.59,6530,9.9,10,10
C-BAG-27-018,7.73,4792,10,10,10
C-BAG-27-019,7.79,5533,10,10,10
C-BAG-27-020,7.87,7508,10,10,10
C-BAG-27-021,7.5,16174,9.9,10,10
C-BAG-27-022,7.84,54410,10,10,10
C-BAG-27-023,7.94,26169,10,10,10
C-BAG-27-024,7.65,24425,9.9,10,10
C-BAG-27-025,7.76,3361,10,10,10
C-BAG-27-026,7.51,4103,9.9,10,10
C-BAG-27-027,7.55,5135,9.9,10,10
C-BAG-27-028,7.92,84567,10,9.9,10
C-BAG-27-029,7.67,4774,9.9,10,10
C-BAG-27-030,7.87,48463,10,10,10
C-BAG-27-031,7.97,975453,10,8.6,10
C-BAG-27-032,7.82,10761,10,10,10
C-BAG-27-033,7.76,65602,10,9.9,10
C-BAG-27-034,7.74,5629,10,10,10
C-BAG-27-035,7.7,3849,10,10,10
C-BAG-27-036,7.81,15514,10,10,10
C-BAG-27-037,7.9,17997,10,10,10
C-BAG-27-038,7.72,40416,10,10,10
C-BAG-27-039,7.81,5982,10,10,10
C-BAG-27-040,7.86,11742,10,10,10
C-BAG-27-041,7.75,4520,10,10,10
C-BAG-27-042,7.72,7944,10,10,10
C-BAG-27-043,7.7,4546,10,10,10
C-BAG-27-044,7.76,7257,10,10,10
C-BAG-27-045,7.71,2676,10,10,10
C-BAG-27-046,7.6,8759,9.9,10,10
C-BAG-27-047,7.74,3622,10,10,10
C-BAG-27-048,7.83,4248,10,10,10
C-BAG-27-049,7.59,10452,9.9,10,10
C-BAG-27-050,7.76,13412,10,10,10
C-BAG-27-051,7.88,3855,10,10,10
C-BAG-27-052,7.71,17909,10,10,10
C-BAG-27-053,7.65,2552,9.9,10,10
C-BAG-27-054,7.87,4819,10,10,10
C-BAG-27-055,8.14,2858,10,10,10
C-BAG-27-056,7.85,12047,10,10,10
C-BAG-27-057,7.76,9726,10,10,10
C-BAG-27-058,7.81,3961,10,10,10
C-BAG-27-059,7.8,5152,10,10,10
C-BAG-28-001,7.68,4986,8.5,9.8,10
C-BAG-28-002,7.51,2486,8.4,10,10
C-BAG-28-003,7.57,426,8.4,10,10
C-BAG-28-004,7.82,7660,8.5,9.7,10
